id,customer_id,beautician_id,service_id,scheduled_at,status,payment_status,notes,created_at
"170b7418-b946-4efb-9990-ff0ccf469033","9a36a682-8368-4392-bd7d-c336e4c12dc3","33bbc843-8bc4-485c-9c45-df119d0d557c","b15a7d97-de5b-47c9-b635-bb802e34d45e","2025-12-15T11:44:39.153Z","pending","unpaid","","2025-11-28T04:42:42.526Z"
"8f1858c8-cc86-4de9-b26a-e8eef9ee0d19","640871f2-482b-42b2-9000-b6a7d0ba4e65","d72d62f7-3b7a-4129-9f59-fb3121d912b9","25b5cf7c-65a7-42ad-ae80-44a90d9257ad","2026-01-06T15:36:32.003Z","pending","paid","","2025-11-20T13:31:10.374Z"
"551347ea-c833-45e5-a725-3a66db870a28","23f6b54a-b538-41a6-8e02-9c646f4bd5cf","f568ce98-f5c3-422f-89eb-cdeb0f5cb6cb","8940e0ba-87f1-4db7-b137-d145f7d64b92","2026-01-19T14:24:07.618Z","confirmed","paid","","2025-11-30T11:10:49.374Z"
"3594b9b5-cf72-4d43-9e64-a51eb49aa79e","f21db92b-a1e2-43f8-bf04-441573640a7b","e7abb682-7063-4f1b-8a54-82088eb35c6a","5eaaa59e-b7fd-47b3-ab7b-7d2eab1a5af4","2025-12-06T13:04:20.211Z","confirmed","paid","","2025-12-02T17:17:32.665Z"
"bcb1c33c-beb5-4032-913c-4fde2c7d060b","907e64a1-d1b4-49ab-af9d-9fc53f9f5d58","a5e0990a-c091-4bc5-9b05-2eb4213059e3","cd869015-870a-457f-8116-4c3c94746578","2025-11-08T17:16:32.607Z","cancelled","refunded","","2025-11-06T12:25:49.693Z"
"1e732d1b-175e-411c-8a55-73f13dcd815b","18caa00c-b8bc-4fae-9b8b-5a5f26e12dfc","2d9681aa-46f8-4b10-9254-68521bd7458b","d912fa54-b9e2-49dc-8830-b51693d41e49","2025-12-25T09:21:34.407Z","confirmed","unpaid","","2025-11-09T13:26:52.241Z"
"c1c685f5-4084-4312-a45b-9dce180afcb9","969169aa-347a-40dc-87eb-147b77cce8fe","ae4e246a-4a16-495d-8691-07c3031070a6","f4fb79d6-3ab1-495a-af01-9ec43d4099b8","2025-11-25T23:59:33.924Z","completed","unpaid","بهبود امید روزنامه. می باشد و آینده ایپسوم حروفچینی و متون حال از.","2025-11-21T02:17:13.427Z"
"ac7ca33c-9f88-45de-86d0-7cb65cb6dba1","27f1c81f-3520-4e52-b553-55cb91aa9b7b","54f44518-9e3c-401c-9f93-6d3f08894caa","447c410b-3eab-492a-aa22-19acc2108e7a","2025-11-19T12:37:15.647Z","completed","paid","","2025-11-13T09:09:52.162Z"
"dace05ee-933c-4b17-899f-f204b80c68c2","d621f6f1-5108-48f4-a0da-df406a57d127","b757ead0-c589-4b63-8873-ca9ed6909a09","f4fb79d6-3ab1-495a-af01-9ec43d4099b8","2026-01-05T00:03:47.182Z","confirmed","paid","","2025-12-14T06:48:33.654Z"
"a74c24e8-fe52-4e94-b930-b38bccfde8a2","39041b41-a3ed-4e2b-8db7-55c6740eb4fb","f775260c-08bc-4fef-b29e-7cce1db68696","3480540a-5aaa-4846-b075-ba018a80b7fe","2026-01-11T16:18:52.706Z","confirmed","unpaid","","2025-12-13T13:19:21.608Z"
"3e3da2dd-9d71-43eb-ab9a-131f6a2273c0","688e3cd2-d91c-4925-a6e4-bc5b75864560","6d59dca5-3e41-4a0f-a144-c898f70907a3","bf66af7a-2544-4f41-89f5-c9cf7e3cb5a4","2025-12-28T17:34:00.007Z","confirmed","paid","","2025-11-23T09:59:32.888Z"
"654e0656-24f3-46a8-a339-c1b8d0c0b7c3","3a964118-35f6-4894-9d1d-9ab2538ac2fa","41744378-78f2-4bd8-96bf-563654aba24e","a92fc1d8-0e5e-4b1f-a46b-d7b542acc811","2025-12-25T05:42:09.179Z","confirmed","unpaid","راهکارها حال کرد جامعه که، بلکه چاپ در زبان فارسی متن که.","2025-11-27T17:44:19.760Z"
"eed2210f-01a7-4993-905b-93dc495812de","fab0a180-2d1f-4a67-82ef-bb9c654bd3f4","3d0e195b-e345-4b65-aad5-33049706162b","6923eb0c-6b67-428b-b909-4ed1aa2933e7","2025-12-01T08:03:59.234Z","cancelled","refunded","","2025-11-24T21:04:01.046Z"
"e81b1df0-fe0b-4a41-9216-a5ee29b48afb","788b7888-f329-461f-9e8c-9bd4fc79252b","7679d8af-c39a-44a7-abdf-2dc0e9834e3d","21134a0a-9de0-4c56-bba1-8b84f2852db2","2025-12-02T19:21:22.332Z","completed","paid","شامل به پایان کتابهای است شصت و سه درصد اهل و برای تایپ تمام.","2025-11-25T16:48:00.726Z"
