rating,comment,appointment_id,customer_id
"2","جلد صورتم یک هفته بعد کاملاً شفاف شد.","170b7418-b946-4efb-9990-ff0ccf469033","9a36a682-8368-4392-bd7d-c336e4c12dc3"
"3","احساس کردم که به نیاز شخصی من توجه کردن.","8f1858c8-cc86-4de9-b26a-e8eef9ee0d19","640871f2-482b-42b2-9000-b6a7d0ba4e65"
"8","فقط یه نکته منفی: کمی سر و صدا داشت.","551347ea-c833-45e5-a725-3a66db870a28","23f6b54a-b538-41a6-8e02-9c646f4bd5cf"
"9","خیلی راضی‌ام، به همه پیشنهاد می‌دم.","3594b9b5-cf72-4d43-9e64-a51eb49aa79e","f21db92b-a1e2-43f8-bf04-441573640a7b"
"7","پوستم بعد از جلسه خیلی نرم و صاف شد.","bcb1c33c-beb5-4032-913c-4fde2c7d060b","907e64a1-d1b4-49ab-af9d-9fc53f9f5d58"
"9","خیلی راضی‌ام، به همه پیشنهاد می‌دم.","1e732d1b-175e-411c-8a55-73f13dcd815b","18caa00c-b8bc-4fae-9b8b-5a5f26e12dfc"
"9","کارشون خوب بود ولی فضای مطب کمی تنگ بود.","c1c685f5-4084-4312-a45b-9dce180afcb9","969169aa-347a-40dc-87eb-147b77cce8fe"
"2","پوستم بعد از جلسه دوم خیلی بهتر شد.","ac7ca33c-9f88-45de-86d0-7cb65cb6dba1","27f1c81f-3520-4e52-b553-55cb91aa9b7b"
"1","خدماتشون عالی بود، فضای مطب هم دنج بود.","dace05ee-933c-4b17-899f-f204b80c68c2","d621f6f1-5108-48f4-a0da-df406a57d127"
"9","خیلی راحت بودم، هیچ استرسی نداشتم.","a74c24e8-fe52-4e94-b930-b38bccfde8a2","39041b41-a3ed-4e2b-8db7-55c6740eb4fb"
"0","ماساژشون واقعاً دردها رو از بین برد.","3e3da2dd-9d71-43eb-ab9a-131f6a2273c0","688e3cd2-d91c-4925-a6e4-bc5b75864560"
"6","احساس کردم که کاملاً به من اعتماد دارن.","654e0656-24f3-46a8-a339-c1b8d0c0b7c3","3a964118-35f6-4894-9d1d-9ab2538ac2fa"
"0","خیلی راحت بودم، هیچ استرسی نداشتم.","eed2210f-01a7-4993-905b-93dc495812de","fab0a180-2d1f-4a67-82ef-bb9c654bd3f4"
"8","پوستم بعد از جلسه سوم کاملاً یکدست شد.","e81b1df0-fe0b-4a41-9216-a5ee29b48afb","788b7888-f329-461f-9e8c-9bd4fc79252b"
"8","خوب بود ولی فکر کنم یه کم عجله‌کاری داشتن.","8bf6bc66-e9a0-49be-9892-11ee5242e7ec","56932e15-f955-4e5f-a4d6-30f73e6da190"
"9","خوب بود ولی فکر کنم یه کم عجله‌کاری داشتن.","bf572335-83b4-45a9-9ab8-7ff02c21ad60","72881f0f-f761-423d-8fe2-8ecc996bcd95"
"9","فقط یه نکته منفی: کمی سر و صدا داشت.","7e950055-e676-448a-9e3e-0724193ee678","a7c8a895-5779-4f8e-ace9-bbed0975ef44"
"2","کاش بیشتر توجه به جزئیات داشتن.","86515dfd-a2e9-43a0-b4db-768dcc0a1ddf","453437ae-596c-4294-8e74-bfaf737f675b"
"4","احساس کردم که وقت منو ارزشمند دونستن.","6702514f-6602-4d25-a3fb-045dc29e64c7","a5edacc4-8714-471e-892e-d73a7e2c12a0"
"2","کارشون خوب بود ولی فضای مطب کمی تنگ بود.","34dd4fc0-fc59-425f-95b4-148b6ad4ca4e","fd741284-3158-4d6a-92a1-9a6d5b87132f"
"1","خوب بود ولی فکر کنم یه کم عجله‌کاری داشتن.","b043e50d-d4ec-4461-bae1-dc6166401845","12971863-f6a8-4543-b436-f4242f69375b"
"4","کاش قبل از پرداخت بیشتر توضیح می‌دادن.","808e6bda-840a-41ee-86b4-1eda314c3bb0","34523114-6995-4582-b954-f805a1b54570"
"5","کارشون خیلی تمیز و بهداشتی بود.","1abfd8aa-86c7-4cce-9760-a36a49772891","7fb6033b-1ac7-4174-a192-8770eb99734b"
"4","فقط یه نکته منفی: کمی سر و صدا داشت.","6623ddf8-ed7b-44e7-869d-95133d838612","1cb983a1-2eea-450f-886e-5922dcc1d4a3"
"1","خیلی راضی‌ام، به همه دوستام گفتم.","e2993adf-d8a0-4a91-be99-51c3852f295a","bdbcd458-9051-4c0b-97cc-8898d8f96394"
"7","ماساژشون واقعاً دردها رو از بین برد.","ca8fb8c8-85ca-4d26-b85b-cd0066b5ee9c","fcf97185-93d9-45c0-8938-898f540982c9"
"1","خوب بود ولی فکر کنم دستگاه‌ها قدیمی باشه.","78d015d8-2e66-47b2-bd53-7f5959b23d31","ff3a1f8c-cf3d-44fb-bbf5-b10793c3aabc"
"8","خدماتشون عالی بود، فضای مطب هم دنج بود.","5384f75d-2b7c-4210-b33b-72828202b1a5","e0338f95-e79a-4af6-815b-08026d9237af"
"5","کارشون خوب بود ولی رفتار پذیرش چندان مناسب نبود.","433cbe1a-53f4-4bc4-9467-d371932a88b6","115c395f-ca9a-466d-9c18-9f02c0de9367"
"9","خدماتشون عالی بود، فضای مطب هم دنج بود.","8251eb89-06a3-4d9c-8120-f17e232a2650","a32fdf7f-8bd1-4db2-af99-1beeb263ca2d"
"1","خیلی خوب بود، دوباره قطعاً می‌رم.","b4a6eb94-94b8-4cb5-9cca-02f0d1d00e71","29affde9-406b-4e11-9fe1-008a42789248"
"0","پوستم بعد از جلسه سوم کاملاً یکدست شد.","22a96d70-ef6d-4ac0-9374-eaacde86b734","11005ccd-2d6f-4a51-87fa-a9b14a6d4263"
"3","کاش قبل از کار بیشتر مشاوره می‌دادن.","e1ac35e5-2cc4-4701-a26d-3bfbdf5f5860","a3e471dc-04bc-44ea-94a5-97fb2692b888"
"9","خیلی راحت بودم، مثل اینکه دارم با دوستم کار می‌کنم.","ff0f6598-db79-4634-bcb9-d9b0ab3a4ea4","9bd8f2f5-9523-4a07-936c-3d6e232dfcd2"
"0","خوب بود ولی فکر کنم دستگاه‌ها قدیمی باشه.","2dba47de-75d1-43b0-9b0f-c9df53a62efb","b79f7aa8-3c5d-4353-8a5a-f93b3a53281a"
"6","ماساژشون واقعاً آرامش‌بخش بود.","5b00e16c-8ce3-4434-9207-18ec12ad76a2","1edd2b84-1fbd-4fa9-b570-e19a25f72a34"
"0","جلد صورتم واقعاً نرم شده، ممنون از شما.","ef0d5031-01b2-475c-834f-271d4e96b068","a08dee7d-95f3-4f9d-8ce4-16d7feb51175"
"8","خوب بود ولی فکر کنم نیاز به جلسه چهارم دارم.","a2bc4be6-04bd-45c8-b32e-9ee8bed212bd","69a62ac3-3f3b-430b-b130-3db6e05ee902"
"0","خوب بود ولی فکر کنم دستگاه‌ها قدیمی باشه.","67039ef5-a840-4b46-b9e8-9757401b5a3e","973a69c7-1b89-42e8-abef-64cc6b4c9f11"
"0","خیلی راحت بودم، هیچ استرسی نداشتم.","09f2f233-6db8-4d42-bbd2-d9502c76ba15","2de7f800-ed19-4e99-9def-7c1448b1a5c6"
"5","جلد صورتم یک هفته بعد کاملاً شفاف شد.","6c575e52-3f9b-42f3-8d9b-189503d11aa6","7fa9c5c3-4686-4327-ade5-45c72c0ae454"
"6","خدماتشون عالی بود، فقط رزرو سخت بود.","cb771c6d-1b4f-445b-88b0-ae6671888be4","3c8520f1-7e43-4786-ac5a-b2b7a88c7099"
"6","خوب بود ولی فکر کنم یه کم گرون بود.","d96e4ea5-d155-40bf-824f-64112206cba5","c1540685-a0f8-4d8e-b16e-e4bdf27326f7"
"0","خوب بود ولی فکر کنم یه کم گرون بود.","3725e49d-f0bb-4fab-848e-1c5405b47151","659f2b80-d1dc-4256-89bd-4714c6d5121e"
"6","فقط یه بار رفتم ولی حتماً تکرار می‌کنم.","470771c6-8541-4843-b65f-64dcb91a4e4d","cbed13a4-8c82-4c55-ba9b-58800e91ef3d"
"2","ماساژشون واقعاً دردها رو از بین برد.","3555fa90-05ed-4acb-8635-eabf02a3d85c","12971863-f6a8-4543-b436-f4242f69375b"
"3","احساس کردم که کاملاً به من اعتماد دارن.","fb131640-7a62-4731-87f3-55fde26a27f9","69a901b8-5690-4db4-a0b6-b7d7389cec6b"
"0","ماساژشون واقعاً آرامش‌بخش بود.","1a6d509b-55bf-42ff-bd38-6038daa38489","27f1c81f-3520-4e52-b553-55cb91aa9b7b"
"5","احساس کردم که واقعاً به کیفیت کار اهمیت می‌دن.","bc519afc-e0e2-46b0-89ca-e29f51c1f95e","9f6ddd2f-565f-4337-b122-5ac9cc2e94dd"
"3","خیلی راضی‌ام، پیشنهاد می‌کنم.","f6f29afe-9221-4232-a700-1379652fcfe1","3624d49b-bc4e-4acf-b38a-2052853ce033"
"3","ماساژشون واقعاً استرس‌هامو کم کرد.","b0ad07e7-defd-4ce6-be7b-59831c9a96f0","1cbc0be3-f925-4ae3-a3ab-14293a7d395a"
"9","خدماتشون حرفه‌ای و باکیفیت بود.","7363849c-0c56-4137-bce7-e0a5366e2e67","1edd2b84-1fbd-4fa9-b570-e19a25f72a34"
"7","خیلی خوب بود، دوباره قطعاً می‌رم.","f12b72fb-7367-481f-91d1-4314f19f57eb","11fbe3f1-5bca-4b97-924f-7daff34a7900"
"0","ماساژشون واقعاً استرس‌هامو کم کرد.","9bf18601-b489-4433-9235-87441d581f0f","6fcee73e-0b0e-47b2-8a0c-3e24b4c9112f"
"9","جلد صورتم بدون هیچ عارضه‌ای خوب شد.","cc25528e-32c8-452f-b449-8dc80376a73a","2ba18025-df2f-4fa1-8c2e-cddb9ef902d1"
"1","فقط یه نکته: کمی دیر کردن.","ae69ad3a-baaf-41cf-a7e4-1c03ee2153ea","a2d07ff4-5307-4f7e-9160-1b7bf28ea7f2"
