id,business_id,category_id,title,description,price,duration_minutes,image,gender_target,is_active,rating
"71fe4956-1db7-46ad-846a-63f9aeffbf2f","5f215114-785a-48a5-ac58-b1aabe8cd7d3","MassageTherapeutic","ماساژ برای دیسک کمر","تجربه لوکس اسپا برای آرامش","550000","72","https://loremflickr.com/3827/2469?lock=944751984330954","true","true","3.2"
"935a32aa-6b34-48dc-be1d-55a7da443e3f","5f215114-785a-48a5-ac58-b1aabe8cd7d3","MassageTherapeutic","ماساژ برای سفتی عضلات","آروماتراپی و خدمات سلامت و آرامش","450000","50","https://picsum.photos/seed/g3YsKM3/2307/2922","true","false","3.6"
"af95e50e-9733-4cd1-9cb2-0f149b1f6d28","5f215114-785a-48a5-ac58-b1aabe8cd7d3","MassageTherapeutic","ماساژ با کاپینگ","تجربه لوکس اسپا برای آرامش","500000","74","https://loremflickr.com/90/2084?lock=8560822584834203","true","true","3"
"f644c5d3-5ee4-42ad-9af5-59f59534d4f3","5f215114-785a-48a5-ac58-b1aabe8cd7d3","MassageThai","ماساژ تایلندی عمیق","درمان‌های پوست و صورت برای تجدید انرژی","1000000","68","https://picsum.photos/seed/xkWj6UBsB/1038/3672","true","true","3.5"
"b178e5a0-0a29-4fff-b2d4-50f84a588108","5f215114-785a-48a5-ac58-b1aabe8cd7d3","MassageThai","ماساژ تایلندی با حرکات یوگا","آروماتراپی و خدمات سلامت و آرامش","900000","36","https://loremflickr.com/2397/2647?lock=4730352109116057","true","true","4.3"
"0fd41972-f0d9-42ad-ac86-a467b59064be","5f215114-785a-48a5-ac58-b1aabe8cd7d3","Sauna","ساونا خشک","آروماتراپی و خدمات سلامت و آرامش","300000","71","https://loremflickr.com/1690/1658?lock=1139363613934989","true","true","4.4"
"b881a85f-63d5-4a5e-ad80-87e744855818","d383e253-baf4-474c-a96f-c3dc890928f1","MeditationSession","جلسه مدیتیشن فردی","ماساژ ورزشی و بافت عمیق","500000","30","https://loremflickr.com/1677/3274?lock=1929797652468947","true","true","3.7"
"a9629c20-1951-4136-bdb7-8e17782e90b5","d383e253-baf4-474c-a96f-c3dc890928f1","MeditationSession","کارگاه مدیتیشن یک‌روزه","ژل، اکریلیک و مراقبت از ناخن طبیعی","1000000","65","https://loremflickr.com/2659/1284?lock=3130320560010697","true","true","3.5"
"dffb6dbf-bf21-44dd-8b63-716182a0bca3","b1e40a62-d2bb-499e-a2a2-76d3180c75af","MenHaircut","کوتاهی موی سر ساده","متخصصین حرفه‌ای مراقبت از ناخن","250000","22","https://loremflickr.com/2879/930?lock=5350084622472207","true","false","4.2"
"223e02d5-8801-481b-ad26-849cbda316f6","b1e40a62-d2bb-499e-a2a2-76d3180c75af","KidsHaircut","ماشین‌کشی کامل سر","درمان‌های آرامش‌بخش بدن و ماساژ","150000","24","https://picsum.photos/seed/loffnErj/1169/1462","true","true","3.8"
"1480bbd6-0f3e-411c-9959-c41946770d35","b1e40a62-d2bb-499e-a2a2-76d3180c75af","KidsHaircut","فیش ریش","حذف موهای بدن و صورت با تخصص","150000","67","https://loremflickr.com/1921/526?lock=769657122077148","true","false","4.9"
"cdf65385-bbf1-4edb-8bbd-26042ae3d19f","b1e40a62-d2bb-499e-a2a2-76d3180c75af","KidsHaircut","موهای زائد گوش و بینی","لیزر و درمان‌های ضد پیری","80000","53","https://loremflickr.com/1676/964?lock=5121198615266798","true","true","3.9"
"4fa34bfa-3067-4119-ace6-ab9682e802a6","b1e40a62-d2bb-499e-a2a2-76d3180c75af","KidsHaircut","حالت دهی مو با موم یا ژل","آرایش عروس و مهمانی","120000","59","https://loremflickr.com/824/2253?lock=5316157231458391","true","true","3.1"
"32518af0-cfca-40a1-a98d-ed71ff901052","d2181fa6-89e0-46bc-bfbf-9472c2f433cc","KidsHaircut","کوتاهی موی دختر","مراقبت حرفه‌ای از پوست و بدن","200000","48","https://loremflickr.com/3943/3803?lock=1729094470119591","true","true","3.9"
"f4f06674-1d36-486f-a515-d3d6a8b787e5","d2181fa6-89e0-46bc-bfbf-9472c2f433cc","EventMakeup","آرایش نوزاد برای عکاسی","درمان‌های پوست و صورت برای تجدید انرژی","200000","70","https://picsum.photos/seed/XKQfnC/421/2651","true","false","3.7"
"31e7d3ef-5851-4028-b8d3-df36804f93c4","64e148d7-44af-41ee-b0c5-5051ec07e26f","LaserHairRemoval","لیزر کامل بیکینی","درمان‌های ایمن و مؤثر","1000000","48","https://loremflickr.com/1156/282?lock=4197774861303629","true","false","4.7"
"66ae0453-6a61-46c8-a313-1419a89310c4","64e148d7-44af-41ee-b0c5-5051ec07e26f","LaserHairRemoval","لیزر ساق پا","فناوری مدرن برای پوست صاف","500000","69","https://picsum.photos/seed/DSsWneGBF/148/830","true","true","3.4"
