id,owner_id,name,description,logo,cover_image,location_id,business_type_id,phone,email,website,instagram,whatsapp,rating,is_verified,is_active
"5f215114-785a-48a5-ac58-b1aabe8cd7d3","29e39300-44bc-4520-9bb0-54094947fa83","اسپا و ماساژ فرانک","تجربه لوکس اسپا برای آرامش","https://tryoxgxo-mlebw.net","https://yymdpnt-cuouqzd.net","08487120-cb36-4512-8f9c-4f7cfe0eba98","SpaAndMassage","+985180818269","mhyn.mearf@gmail.com","null","null","null","3.7","true","true"
"d383e253-baf4-474c-a96f-c3dc890928f1","69650cb3-e3cc-4596-b713-d8fc757e1bb5","مرکز تناسب اندام و سلامت مهسا","کوتاهی مو کلاسیک و مدرن مردانه","https://almgryvu-doqhl.info/","https://kcqaj-zwoz.ir","457a5112-ecb4-4685-a9ed-d9f2602d0fc3","FitnessWellnessCenter","+987626694826","syna_hashmyrfsnjany46@yahoo.com","null","@shrwyn_ealy72","null","4.0","true","true"
"b1e40a62-d2bb-499e-a2a2-76d3180c75af","5e20cb36-7c4e-46a5-a6dc-78fff28d2bd6","آرایشگاه مردانه پارمیس","متخصص در تاتوهای واقع‌گرایانه و هنری","https://zepklwl-vryjt.ir","https://cuddag-ecgmte.net/","08a2d94b-3139-4c0e-8f58-84565f93a6a5","Barbershop","+985840542194","null","null","@afshyn18","null","4.9","true","true"
"d2181fa6-89e0-46bc-bfbf-9472c2f433cc","3bab744e-b959-4ef6-b43d-90233b2b6d20","سالن زیبایی کودکان ملیسا","ارائه خدمات حرفه‌ای آرایش و رنگ مو","https://qrveqqzp-chbzormz.ir","https://lrida-jxfvqxb.ir/","ceeba6ff-c41d-4e3d-aff0-e273c96f87e4","KidsHairBeautySalon","+984484409995","razban_qhrmanyan@yahoo.com","http://ozdbl-bqfamshe.ir/","null","null","1.8","false","true"
"64e148d7-44af-41ee-b0c5-5051ec07e26f","b79f7aa8-3c5d-4353-8a5a-f93b3a53281a","کلینیک لیزر پرنیان","خدمات پیشرفته لیزر برای حذف مو","https://rppir-tfiyuw.info","https://luvovlmw-nkieketq.net","ed80060f-09b2-4020-8ef3-000f167a023c","LaserClinic","+984414421937","null","null","null","+984414421937","4.9","true","false"
"a6edf4c5-962d-4e69-8e3f-c02917a59d99","1da3052b-daeb-4ce2-b738-1328edeaf9ff","کلینیک لیزر زیبا","فناوری مدرن برای پوست صاف","https://zzhlnbs-vdtoo.com","https://fbiha-mzax.com/","9266503e-c27b-49d3-bc03-1c5128934261","LaserClinic","+985131977811","null","null","null","null","0.35","true","true"
"8f52cdaf-3452-4547-b7b6-1b37be9a0b25","c4f48cc5-2448-45b7-a914-4a3a35648843","آرایشگاه مردانه آنا","آرایشگران حرفه‌ای با مراقبت شخصی","https://lqugl-jrimv.ir/","https://stocvgbs-fzbdhz.net","1b4be036-28bb-4142-9585-52570aa0bac1","Barbershop","+982338516635","null","null","@shbnm.ghny","null","1.3","true","false"
"bee71eea-f2c2-469e-9a50-c9328574b296","12e331ac-325c-4f79-885a-8753ed9782ab","کلینیک زیبایی تخصصی (غیرجراحی) گلاره","خدمات آرایش حرفه‌ای","https://gtvxl-luqekbbj.org","https://jikdp-lktvkno.ir","cffc0aac-01a4-4b24-b764-d1708aa8ad63","AestheticClinic","+982819609127","null","null","@nrsy_njfy40","null","2.6","true","false"
"660777f1-310e-441c-b88b-8459719704e0","58aee9c4-0201-40cd-b38f-38e584c15a5c","استودیو خالکوبی و تاتو مهرناز","آرتیست‌های خلاق برای سبک‌های منحصربه‌فرد","https://uhsnpbdu-ivcabwcm.net","https://bvdemh-vptr.org","2cf511f7-0b00-4047-a8e5-ea46fa6d8418","TattooStudio","+982449307270","null","null","null","+982449307270","2.5","false","true"
"b3fd64af-f2d2-4364-94c0-6ad76b5c1e7d","aae67bb2-37e5-4a7b-937d-6243c15bda23","کلینیک زیبایی تخصصی (غیرجراحی) مروارید","خدمات شخصی آرایش مردانه","https://mvbg-rzoq.org","https://dntmokbm-bptjl.com/","d2a29d09-d43c-46c6-9dff-03ff64ac9720","AestheticClinic","+982626710144","ywshyta.enayt18@gmail.com","null","null","+982626710144","2.2","true","true"
"f432b184-99f9-4f07-9534-9e445a3a673d","03ea2e91-a810-48bb-9229-e5601b61c62f","اسپا و ماساژ سیما","درمان‌های آرامش‌بخش بدن و ماساژ","https://kytfi-urfuxwo.com/","https://pmoh-sxsjsj.net","4225c489-72a7-43fd-a9cf-b5dd8d94922b","SpaAndMassage","+983140284295","null","null","null","null","3.1","true","true"
"2f00ad8f-3f4e-494c-af03-b78f91b7b59f","7a3afcf0-97ca-4af7-b8de-f20e5373a2e7","کلینیک لیزر بنفشه","فناوری مدرن برای پوست صاف","https://pfmxx-wobdt.net","https://zhrsxjz-beoy.ir","9b81807e-5db8-4695-9d7a-f2ced01ffef8","LaserClinic","+984417617600","null","null","null","null","2.7","true","true"
"6de191c1-5ded-4dd1-b6cf-ca4b1b7ccc9d","aed2160a-e35d-4ae4-95e1-2468dbf4b9e1","مرکز تناسب اندام و سلامت سمیرا","درمان‌های پیشرفته زیبایی","https://emyzjey-pnmrg.info","https://hvwvt-cegtf.info","b1586221-9409-4f75-9d42-acd4ab2ede7c","FitnessWellnessCenter","+983173512980","null","null","null","null","3.3","true","false"
"a6316324-7a3a-4958-aad9-3d54b89321fe","a97a9d07-bb44-40aa-bc18-155a5f0520df","مرکز تناسب اندام و سلامت محدثه","آرایشگران حرفه‌ای با مراقبت شخصی","https://qgqdeoy-tttwmzvf.info/","https://vpgr-pivurob.net","6924de19-da5e-45c7-901f-e9a4214782ba","FitnessWellnessCenter","+984570237955","frnwsh26@hotmail.com","null","null","null","4.4","true","true"
"d51b33e1-9666-4da7-88be-3fa9be2eab33","00ab6580-6c11-41fd-9f0b-9ce1695b9302","استودیو خالکوبی و تاتو مروارید","متخصص در تاتوهای واقع‌گرایانه و هنری","https://potaq-njrjw.ir/","https://zzmayqmx-yeflu.ir/","4bc61f1d-ceaf-43ec-9bba-568bb7d4efa9","TattooStudio","+984442262273","frydwn.mwswyan@yahoo.com","null","@gwdrz_myrspasy","null","2.3","true","true"
"62261354-fccb-4c22-a0bb-125db597c85f","ece90a21-fd8e-43c1-bbc7-e3c1b8671692","سالن زیبایی مو (زن) ملیسا","متخصص در درمان‌های مدرن مو","https://rymwm-nfdngsvl.org","https://shqz-xommuqd.com/","40183c34-9b29-4117-9fcb-1ba687205481","HairSalon","+982337271550","shmyla.qnbry@yahoo.com","null","null","null","3.5","true","true"
